id,retweets_count,favorite_count,created_at,text,lang,retweeted,followers_count,friends_count,hashtags_count,description,location,background_image_url,source
8.26384562192e+17,1406.0,4903.0,2017-01-31 11:00:07,"The President's address wonderfully encapsulated India's strengths, aspirations, potential &amp; the efforts towards #TransformingIndia.",en,False,26809964.0,1641.0,1.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26384332466e+17,907.0,2877.0,2017-01-31 10:59:12,Rashtrapati Ji's address to both Houses of Parliament was in-depth &amp; extensive. Do hear. https://t.co/rdKQtjgNNx @RashtrapatiBhvn,en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382656284e+17,694.0,0.0,2017-01-31 10:52:33,RT @PMOIndia: Empowering the marginalised. https://t.co/wwsqgW94Dk,en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382609215e+17,666.0,0.0,2017-01-31 10:52:22,RT @PMOIndia: Commitment to welfare of farmers. https://t.co/P7AAfRfmrC,en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382583999e+17,716.0,0.0,2017-01-31 10:52:16,RT @PMOIndia: Improving the quality of life for the poor. https://t.co/8ugm25VK2Z,en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382557889e+17,659.0,0.0,2017-01-31 10:52:09,RT @PMOIndia: Financial inclusion for poverty alleviation. https://t.co/5xT2ZyhHTE,en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.2638237274e+17,498.0,0.0,2017-01-31 10:51:25,RT @RashtrapatiBhvn: The four-decade old demand of one-rank-one-pension (OROP) of our Armed Forces veterans has been fulfilled #PresidentMu…,en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382340717e+17,508.0,0.0,2017-01-31 10:51:18,RT @RashtrapatiBhvn: My Government has taken bold decisions in the interest of the poor #PresidentMukherjee,en,False,26809964.0,1641.0,1.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382300066e+17,460.0,0.0,2017-01-31 10:51:08,"RT @RashtrapatiBhvn: Under its proactive ""Act East"" policy, my govt is focussing on reducing isolation of the Eastern region &amp; North-east…",en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382245615e+17,389.0,0.0,2017-01-31 10:50:55,"RT @RashtrapatiBhvn: Through Stand-up India initiative, my govt. plans to empower over two and a half lakh SC, ST &amp; women entrepreneurs #Pr…",en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
8.26382183481e+17,485.0,0.0,2017-01-31 10:50:40,"RT @RashtrapatiBhvn: Pradhan Mantri Fasal Bima Yojana expanded ambit of risk-coverage, doubled sum insured &amp; facilitated lowest-ever premiu…",en,False,26809964.0,1641.0,0.0,Prime Minister of India,India,http://pbs.twimg.com/profile_background_images/562185004696875009/DiiHx54g.jpeg,Twitter Web Client
